componentName	componentCaption	measurementUnit	measurementTechniquePrinciple	year2005Mean(P50)
Sulphur dioxide (air)	SO2	µg/m3	UV fluorescence	1.171	0.688
Ozone (air)	O3	µg/m3	UV absorption	67.338	66.833
Nitrogen dioxide (air)	NO2	µg/m3	chemiluminescence	3.063	2.454
Nitrogen oxides (air)	NOX	µg NO2/m3	chemiluminescence	3.466	2.787
Particulate matter < 2.5 µm (aerosol)	PM2.5	µg/m3	Beta ray attenuation		
